YYYY-mm-dd,dd-mm-YYYY,mm-dd-YYYY,mm/dd/YYYY,dd/mm/YYYY,ISO,mm/dd/YYYY HH:MM,YYYY-mmm-dd HH:MM AM/PM
2025-11-19,19-11-2025,11-19-2025,11/19/2025,19/11/2025,2025-11-19T12:04:29.987712,11/19/2025 12:04,2025-11-19 12:04 PM
2025-12-19,19-12-2025,12-19-2025,12/19/2025,19/12/2025,2025-11-19T16:04:29.987712,11/19/2025 16:04,2025-11-19 16:04 PM
2026-01-19,19-01-2026,01-19-2026,01/19/2026,19/01/2026,2025-11-19T20:04:29.987712,11/19/2025 20:04,2025-11-19 20:04 PM
2026-02-19,19-02-2026,02-19-2026,02/19/2026,19/02/2026,2025-11-20T00:04:29.987712,11/20/2025 00:04,2025-11-20 00:04 AM
2026-03-19,19-03-2026,03-19-2026,03/19/2026,19/03/2026,2025-11-20T04:04:29.987712,11/20/2025 04:04,2025-11-20 04:04 AM
2026-04-19,19-04-2026,04-19-2026,04/19/2026,19/04/2026,2025-11-20T08:04:29.987712,11/20/2025 08:04,2025-11-20 08:04 AM
2026-05-19,19-05-2026,05-19-2026,05/19/2026,19/05/2026,2025-11-20T12:04:29.987712,11/20/2025 12:04,2025-11-20 12:04 PM
2026-06-19,19-06-2026,06-19-2026,06/19/2026,19/06/2026,2025-11-20T16:04:29.987712,11/20/2025 16:04,2025-11-20 16:04 PM
2026-07-19,19-07-2026,07-19-2026,07/19/2026,19/07/2026,2025-11-20T20:04:29.987712,11/20/2025 20:04,2025-11-20 20:04 PM
2026-08-19,19-08-2026,08-19-2026,08/19/2026,19/08/2026,2025-11-21T00:04:29.987712,11/21/2025 00:04,2025-11-21 00:04 AM
2026-09-19,19-09-2026,09-19-2026,09/19/2026,19/09/2026,2025-11-21T04:04:29.987712,11/21/2025 04:04,2025-11-21 04:04 AM
2026-10-19,19-10-2026,10-19-2026,10/19/2026,19/10/2026,2025-11-21T08:04:29.987712,11/21/2025 08:04,2025-11-21 08:04 AM
2026-11-19,19-11-2026,11-19-2026,11/19/2026,19/11/2026,2025-11-21T12:04:29.987712,11/21/2025 12:04,2025-11-21 12:04 PM
2026-12-19,19-12-2026,12-19-2026,12/19/2026,19/12/2026,2025-11-21T16:04:29.987712,11/21/2025 16:04,2025-11-21 16:04 PM
2027-01-19,19-01-2027,01-19-2027,01/19/2027,19/01/2027,2025-11-21T20:04:29.987712,11/21/2025 20:04,2025-11-21 20:04 PM
2027-02-19,19-02-2027,02-19-2027,02/19/2027,19/02/2027,2025-11-22T00:04:29.987712,11/22/2025 00:04,2025-11-22 00:04 AM
2027-03-19,19-03-2027,03-19-2027,03/19/2027,19/03/2027,2025-11-22T04:04:29.987712,11/22/2025 04:04,2025-11-22 04:04 AM
2027-04-19,19-04-2027,04-19-2027,04/19/2027,19/04/2027,2025-11-22T08:04:29.987712,11/22/2025 08:04,2025-11-22 08:04 AM
2027-05-19,19-05-2027,05-19-2027,05/19/2027,19/05/2027,2025-11-22T12:04:29.987712,11/22/2025 12:04,2025-11-22 12:04 PM
2027-06-19,19-06-2027,06-19-2027,06/19/2027,19/06/2027,2025-11-22T16:04:29.987712,11/22/2025 16:04,2025-11-22 16:04 PM
2027-07-19,19-07-2027,07-19-2027,07/19/2027,19/07/2027,2025-11-22T20:04:29.987712,11/22/2025 20:04,2025-11-22 20:04 PM
2027-08-19,19-08-2027,08-19-2027,08/19/2027,19/08/2027,2025-11-23T00:04:29.987712,11/23/2025 00:04,2025-11-23 00:04 AM
2027-09-19,19-09-2027,09-19-2027,09/19/2027,19/09/2027,2025-11-23T04:04:29.987712,11/23/2025 04:04,2025-11-23 04:04 AM
2027-10-19,19-10-2027,10-19-2027,10/19/2027,19/10/2027,2025-11-23T08:04:29.987712,11/23/2025 08:04,2025-11-23 08:04 AM
